question_text,correct_answer,hint,explanation,difficulty,tags,active
Rearrange (Sailot) to reference a valid ward in Sigowet/Soin Constituency - Kericho County in Kenya,Soliat,The Ward starts with SOL,The ward Soliat is in Sigowet/Soin Constituency - Kericho County.,1,"geography,ward,kenya",TRUE
Rearrange (Nykiao) to reference a valid ward in Kinangop Constituency - Nyandarua County in Kenya,Nyakio,The Ward starts with NYA,The ward Nyakio is in Kinangop Constituency - Nyandarua County.,1,"geography,ward,kenya",TRUE
Rearrange (Kbamuhu) to reference a valid ward in Kigumo Constituency - Murang'a County in Kenya,Kahumbu,The Ward starts with KAH,The ward Kahumbu is in Kigumo Constituency - Murang'a County.,1,"geography,ward,kenya",TRUE
Rearrange (Wreu) to reference a valid ward in Ol Jorok Constituency - Nyandarua County in Kenya,Weru,The Ward starts with WER,The ward Weru is in Ol Jorok Constituency - Nyandarua County.,1,"geography,ward,kenya",TRUE
Rearrange (Nzmbnaai) to reference a valid ward in Kitui East Constituency - Kitui County in Kenya,Nzambani,The Ward starts with NZA,The ward Nzambani is in Kitui East Constituency - Kitui County.,2,"geography,ward,kenya",TRUE
Rearrange (Kabgiama) to reference a valid ward in Ol Kalou Constituency - Nyandarua County in Kenya,Kaimbaga,The Ward starts with KAI,The ward Kaimbaga is in Ol Kalou Constituency - Nyandarua County.,2,"geography,ward,kenya",TRUE
Rearrange (Keklipion) to reference a valid ward in Kipkelion West Constituency - Kericho County in Kenya,Kipkelion,The Ward starts with KIP,The ward Kipkelion is in Kipkelion West Constituency - Kericho County.,2,"geography,ward,kenya",TRUE
Rearrange (Bbrmuua) to reference a valid ward in Matayos Constituency - Busia County in Kenya,Burumba,The Ward starts with BUR,The ward Burumba is in Matayos Constituency - Busia County.,1,"geography,ward,kenya",TRUE
Rearrange (Kaalmapi) to reference a valid ward in Cherangany Constituency - Trans Nzoia County in Kenya,Kaplamai,The Ward starts with KAP,The ward Kaplamai is in Cherangany Constituency - Trans Nzoia County.,2,"geography,ward,kenya",TRUE
Rearrange (Bjnaa) to reference a valid ward in Hamisi Constituency - Vihiga County in Kenya,Banja,The Ward starts with BAN,The ward Banja is in Hamisi Constituency - Vihiga County.,1,"geography,ward,kenya",TRUE
Rearrange (Mtuau) to reference a valid ward in Yatta Constituency - Machakos County in Kenya,Matuu,The Ward starts with MAT,The ward Matuu is in Yatta Constituency - Machakos County.,1,"geography,ward,kenya",TRUE
Rearrange (Kinkaboma) to reference a valid ward in Galole Constituency - Tana River County in Kenya,Kinakomba,The Ward starts with KIN,The ward Kinakomba is in Galole Constituency - Tana River County.,2,"geography,ward,kenya",TRUE
Rearrange (Cimhepkua) to reference a valid ward in Emgwen Constituency - Nandi County in Kenya,Chepkumia,The Ward starts with CHE,The ward Chepkumia is in Emgwen Constituency - Nandi County.,2,"geography,ward,kenya",TRUE
Rearrange (Mthesyua) to reference a valid ward in Masinga Constituency - Machakos County in Kenya,Muthesya,The Ward starts with MUT,The ward Muthesya is in Masinga Constituency - Machakos County.,2,"geography,ward,kenya",TRUE
Rearrange (Gytugaanaa) to reference a valid ward in Thika Town Constituency - Kiambu County in Kenya,Gatuanyaga,The Ward starts with GAT,The ward Gatuanyaga is in Thika Town Constituency - Kiambu County.,2,"geography,ward,kenya",TRUE
Rearrange (Ebmmoos) to reference a valid ward in Konoin Constituency - Bomet County in Kenya,Embomos,The Ward starts with EMB,The ward Embomos is in Konoin Constituency - Bomet County.,1,"geography,ward,kenya",TRUE
Rearrange (Ktbeae) to reference a valid ward in Kabete Constituency - Kiambu County in Kenya,Kabete,The Ward starts with KAB,The ward Kabete is in Kabete Constituency - Kiambu County.,1,"geography,ward,kenya",TRUE
Rearrange (Tlaa) to reference a valid ward in Matungulu Constituency - Machakos County in Kenya,Tala,The Ward starts with TAL,The ward Tala is in Matungulu Constituency - Machakos County.,1,"geography,ward,kenya",TRUE
Rearrange (Kiocha) to reference a valid ward in Rangwe Constituency - Homa Bay County in Kenya,Kochia,The Ward starts with KOC,The ward Kochia is in Rangwe Constituency - Homa Bay County.,1,"geography,ward,kenya",TRUE
Rearrange (Mkanuato) to reference a valid ward in Cherangany Constituency - Trans Nzoia County in Kenya,Makutano,The Ward starts with MAK,The ward Makutano is in Cherangany Constituency - Trans Nzoia County.,2,"geography,ward,kenya",TRUE
Rearrange (Kpeukars) to reference a valid ward in Soy Constituency - Uasin Gishu County in Kenya,Kapkures,The Ward starts with KAP,The ward Kapkures is in Soy Constituency - Uasin Gishu County.,2,"geography,ward,kenya",TRUE
Rearrange (Bautomntaya) to reference a valid ward in West Mugirango Constituency - Nyamira County in Kenya,Bonyamatuta,The Ward starts with BON,The ward Bonyamatuta is in West Mugirango Constituency - Nyamira County.,2,"geography,ward,kenya",TRUE
Rearrange (Myoani) to reference a valid ward in Matungu Constituency - Kakamega County in Kenya,Mayoni,The Ward starts with MAY,The ward Mayoni is in Matungu Constituency - Kakamega County.,1,"geography,ward,kenya",TRUE
Rearrange (Emoso) to reference a valid ward in Keiyo North Constituency - Elgeyo-Marakwet County in Kenya,Emsoo,The Ward starts with EMS,The ward Emsoo is in Keiyo North Constituency - Elgeyo-Marakwet County.,1,"geography,ward,kenya",TRUE
Rearrange (Mntibii) to reference a valid ward in Makueni Constituency - Makueni County in Kenya,Mbitini,The Ward starts with MBI,The ward Mbitini is in Makueni Constituency - Makueni County.,1,"geography,ward,kenya",TRUE
Rearrange (Kpiirpii) to reference a valid ward in Kipipiri Constituency - Nyandarua County in Kenya,Kipipiri,The Ward starts with KIP,The ward Kipipiri is in Kipipiri Constituency - Nyandarua County.,2,"geography,ward,kenya",TRUE
Rearrange (Ggnaa) to reference a valid ward in Maara Constituency - Tharaka County in Kenya,Ganga,The Ward starts with GAN,The ward Ganga is in Maara Constituency - Tharaka County.,1,"geography,ward,kenya",TRUE
Rearrange (Kaagmut) to reference a valid ward in Turbo Constituency - Uasin Gishu County in Kenya,Kamagut,The Ward starts with KAM,The ward Kamagut is in Turbo Constituency - Uasin Gishu County.,1,"geography,ward,kenya",TRUE
Rearrange (Kiekynpo) to reference a valid ward in Kapseret Constituency - Uasin Gishu County in Kenya,Kipkenyo,The Ward starts with KIP,The ward Kipkenyo is in Kapseret Constituency - Uasin Gishu County.,2,"geography,ward,kenya",TRUE
Rearrange (Nairrkaa) to reference a valid ward in Narok West Constituency - Narok County in Kenya,Naikarra,The Ward starts with NAI,The ward Naikarra is in Narok West Constituency - Narok County.,2,"geography,ward,kenya",TRUE
Rearrange (Mainrai) to reference a valid ward in Nithi Constituency - Tharaka County in Kenya,Mariani,The Ward starts with MAR,The ward Mariani is in Nithi Constituency - Tharaka County.,1,"geography,ward,kenya",TRUE
Rearrange (Mauka) to reference a valid ward in Kilome Constituency - Makueni County in Kenya,Mukaa,The Ward starts with MUK,The ward Mukaa is in Kilome Constituency - Makueni County.,1,"geography,ward,kenya",TRUE
Rearrange (Mmiila) to reference a valid ward in Tongaren Constituency - Bungoma County in Kenya,Milima,The Ward starts with MIL,The ward Milima is in Tongaren Constituency - Bungoma County.,1,"geography,ward,kenya",TRUE
Rearrange (Mewa) to reference a valid ward in Gachoka Constituency - Embu County in Kenya,Mwea,The Ward starts with MWE,The ward Mwea is in Gachoka Constituency - Embu County.,1,"geography,ward,kenya",TRUE
Rearrange (Hnwgoe) to reference a valid ward in Lamu West Constituency - Lamu County in Kenya,Hongwe,The Ward starts with HON,The ward Hongwe is in Lamu West Constituency - Lamu County.,1,"geography,ward,kenya",TRUE
Rearrange (Ceuunpyhkk) to reference a valid ward in Nandi Hills Constituency - Nandi County in Kenya,Chepkunyuk,The Ward starts with CHE,The ward Chepkunyuk is in Nandi Hills Constituency - Nandi County.,2,"geography,ward,kenya",TRUE
Rearrange (Mdukrnuio) to reference a valid ward in Mwea Constituency - Kirinyaga County in Kenya,Murinduko,The Ward starts with MUR,The ward Murinduko is in Mwea Constituency - Kirinyaga County.,2,"geography,ward,kenya",TRUE
Rearrange (Ggeetna) to reference a valid ward in South Mugirango Constituency - Kisii County in Kenya,Getenga,The Ward starts with GET,The ward Getenga is in South Mugirango Constituency - Kisii County.,1,"geography,ward,kenya",TRUE
Rearrange (Sinaa) to reference a valid ward in Narok West Constituency - Narok County in Kenya,Siana,The Ward starts with SIA,The ward Siana is in Narok West Constituency - Narok County.,1,"geography,ward,kenya",TRUE
Rearrange (Krakao) to reference a valid ward in Suna East Constituency - Migori County in Kenya,Kakrao,The Ward starts with KAK,The ward Kakrao is in Suna East Constituency - Migori County.,1,"geography,ward,kenya",TRUE
Rearrange (Ngnaoyers) to reference a valid ward in Chepalungu Constituency - Bomet County in Kenya,Nyangores,The Ward starts with NYA,The ward Nyangores is in Chepalungu Constituency - Bomet County.,2,"geography,ward,kenya",TRUE
Rearrange (Knoio) to reference a valid ward in Kikuyu Constituency - Kiambu County in Kenya,Kinoo,The Ward starts with KIN,The ward Kinoo is in Kikuyu Constituency - Kiambu County.,1,"geography,ward,kenya",TRUE
Rearrange (Kaibtmi) to reference a valid ward in Maragwa Constituency - Murang'a County in Kenya,Kambiti,The Ward starts with KAM,The ward Kambiti is in Maragwa Constituency - Murang'a County.,1,"geography,ward,kenya",TRUE
Rearrange (Meeennke) to reference a valid ward in Borabu Constituency - Nyamira County in Kenya,Mekenene,The Ward starts with MEK,The ward Mekenene is in Borabu Constituency - Nyamira County.,2,"geography,ward,kenya",TRUE
Rearrange (Bdiii) to reference a valid ward in Kwanza Constituency - Trans Nzoia County in Kenya,Bidii,The Ward starts with BID,The ward Bidii is in Kwanza Constituency - Trans Nzoia County.,1,"geography,ward,kenya",TRUE
Rearrange (Twuani) to reference a valid ward in Saboti Constituency - Trans Nzoia County in Kenya,Tuwani,The Ward starts with TUW,The ward Tuwani is in Saboti Constituency - Trans Nzoia County.,1,"geography,ward,kenya",TRUE
Rearrange (Gsamabii) to reference a valid ward in Hamisi Constituency - Vihiga County in Kenya,Gisambai,The Ward starts with GIS,The ward Gisambai is in Hamisi Constituency - Vihiga County.,2,"geography,ward,kenya",TRUE
Rearrange (Moihcto) to reference a valid ward in South Mugirango Constituency - Kisii County in Kenya,Moticho,The Ward starts with MOT,The ward Moticho is in South Mugirango Constituency - Kisii County.,1,"geography,ward,kenya",TRUE
Rearrange (Leeiavkw) to reference a valid ward in Naivasha Constituency - Nakuru County in Kenya,Lakeview,The Ward starts with LAK,The ward Lakeview is in Naivasha Constituency - Nakuru County.,2,"geography,ward,kenya",TRUE
Rearrange (Garur) to reference a valid ward in Wajir North Constituency - Wajir County in Kenya,Gurar,The Ward starts with GUR,The ward Gurar is in Wajir North Constituency - Wajir County.,1,"geography,ward,kenya",TRUE
Rearrange (Muwge) to reference a valid ward in Nithi Constituency - Tharaka County in Kenya,Mugwe,The Ward starts with MUG,The ward Mugwe is in Nithi Constituency - Tharaka County.,1,"geography,ward,kenya",TRUE
Rearrange (Sooirigni) to reference a valid ward in Chepalungu Constituency - Bomet County in Kenya,Siongiroi,The Ward starts with SIO,The ward Siongiroi is in Chepalungu Constituency - Bomet County.,2,"geography,ward,kenya",TRUE
Rearrange (Inbeo) to reference a valid ward in Nyaribari Chache Constituency - Kisii County in Kenya,Ibeno,The Ward starts with IBE,The ward Ibeno is in Nyaribari Chache Constituency - Kisii County.,1,"geography,ward,kenya",TRUE
Rearrange (Kjanaii) to reference a valid ward in Tigania West Constituency - Meru County in Kenya,Kianjai,The Ward starts with KIA,The ward Kianjai is in Tigania West Constituency - Meru County.,1,"geography,ward,kenya",TRUE
Rearrange (Kbaarnii) to reference a valid ward in Kilifi North Constituency - Kilifi County in Kenya,Kibarani,The Ward starts with KIB,The ward Kibarani is in Kilifi North Constituency - Kilifi County.,2,"geography,ward,kenya",TRUE
Rearrange (Srendie) to reference a valid ward in Kiminini Constituency - Trans Nzoia County in Kenya,Sirende,The Ward starts with SIR,The ward Sirende is in Kiminini Constituency - Trans Nzoia County.,1,"geography,ward,kenya",TRUE
Rearrange (Mtriua) to reference a valid ward in Kirinyaga Central Constituency - Kirinyaga County in Kenya,Mutira,The Ward starts with MUT,The ward Mutira is in Kirinyaga Central Constituency - Kirinyaga County.,1,"geography,ward,kenya",TRUE
Rearrange (Kgngsaua) to reference a valid ward in Suba North Constituency - Homa Bay County in Kenya,Kasgunga,The Ward starts with KAS,The ward Kasgunga is in Suba North Constituency - Homa Bay County.,2,"geography,ward,kenya",TRUE
Rearrange (Kalahba) to reference a valid ward in Matungu Constituency - Kakamega County in Kenya,Khalaba,The Ward starts with KHA,The ward Khalaba is in Matungu Constituency - Kakamega County.,1,"geography,ward,kenya",TRUE
Rearrange (Mwoniba) to reference a valid ward in Luanda Constituency - Vihiga County in Kenya,Mwibona,The Ward starts with MWI,The ward Mwibona is in Luanda Constituency - Vihiga County.,1,"geography,ward,kenya",TRUE
Rearrange (Kauywkuma) to reference a valid ward in Kimilili Constituency - Bungoma County in Kenya,Kamukuywa,The Ward starts with KAM,The ward Kamukuywa is in Kimilili Constituency - Bungoma County.,2,"geography,ward,kenya",TRUE
Rearrange (Kpyasoa) to reference a valid ward in Ainabkoi Constituency - Uasin Gishu County in Kenya,Kapsoya,The Ward starts with KAP,The ward Kapsoya is in Ainabkoi Constituency - Uasin Gishu County.,1,"geography,ward,kenya",TRUE
Rearrange (Ibtio) to reference a valid ward in North Mugirango Constituency - Nyamira County in Kenya,Itibo,The Ward starts with ITI,The ward Itibo is in North Mugirango Constituency - Nyamira County.,1,"geography,ward,kenya",TRUE
Rearrange (Uika) to reference a valid ward in Kaiti Constituency - Makueni County in Kenya,Ukia,The Ward starts with UKI,The ward Ukia is in Kaiti Constituency - Makueni County.,1,"geography,ward,kenya",TRUE
Rearrange (Kaluba) to reference a valid ward in Bumula Constituency - Bungoma County in Kenya,Kabula,The Ward starts with KAB,The ward Kabula is in Bumula Constituency - Bungoma County.,1,"geography,ward,kenya",TRUE
Rearrange (Clianhkei) to reference a valid ward in Lugari Constituency - Kakamega County in Kenya,Chekalini,The Ward starts with CHE,The ward Chekalini is in Lugari Constituency - Kakamega County.,2,"geography,ward,kenya",TRUE
Rearrange (Kiumgo) to reference a valid ward in Kigumo Constituency - Murang'a County in Kenya,Kigumo,The Ward starts with KIG,The ward Kigumo is in Kigumo Constituency - Murang'a County.,1,"geography,ward,kenya",TRUE
Rearrange (Kaalhba) to reference a valid ward in Kanduyi Constituency - Bungoma County in Kenya,Khalaba,The Ward starts with KHA,The ward Khalaba is in Kanduyi Constituency - Bungoma County.,1,"geography,ward,kenya",TRUE
Rearrange (Marfaa) to reference a valid ward in Magarini Constituency - Kilifi County in Kenya,Marafa,The Ward starts with MAR,The ward Marafa is in Magarini Constituency - Kilifi County.,1,"geography,ward,kenya",TRUE
Rearrange (Mynejae) to reference a valid ward in Matayos Constituency - Busia County in Kenya,Mayenje,The Ward starts with MAY,The ward Mayenje is in Matayos Constituency - Busia County.,1,"geography,ward,kenya",TRUE
Rearrange (Gmodoa) to reference a valid ward in Wajir North Constituency - Wajir County in Kenya,Godoma,The Ward starts with GOD,The ward Godoma is in Wajir North Constituency - Wajir County.,1,"geography,ward,kenya",TRUE
Rearrange (Kinjgao) to reference a valid ward in Gatundu South Constituency - Kiambu County in Kenya,Kiganjo,The Ward starts with KIG,The ward Kiganjo is in Gatundu South Constituency - Kiambu County.,1,"geography,ward,kenya",TRUE
Rearrange (Bmboaria) to reference a valid ward in Bonchari Constituency - Kisii County in Kenya,Bomariba,The Ward starts with BOM,The ward Bomariba is in Bonchari Constituency - Kisii County.,2,"geography,ward,kenya",TRUE
Rearrange (Mubini) to reference a valid ward in Mwala Constituency - Machakos County in Kenya,Mbiuni,The Ward starts with MBI,The ward Mbiuni is in Mwala Constituency - Machakos County.,1,"geography,ward,kenya",TRUE
Rearrange (Gntgaaa) to reference a valid ward in Gatanga Constituency - Murang'a County in Kenya,Gatanga,The Ward starts with GAT,The ward Gatanga is in Gatanga Constituency - Murang'a County.,1,"geography,ward,kenya",TRUE
Rearrange (Wgia) to reference a valid ward in Suna West Constituency - Migori County in Kenya,Wiga,The Ward starts with WIG,The ward Wiga is in Suna West Constituency - Migori County.,1,"geography,ward,kenya",TRUE
Rearrange (Bkoeria) to reference a valid ward in North Mugirango Constituency - Nyamira County in Kenya,Bokeira,The Ward starts with BOK,The ward Bokeira is in North Mugirango Constituency - Nyamira County.,1,"geography,ward,kenya",TRUE
Rearrange (Bitoo) to reference a valid ward in Konoin Constituency - Bomet County in Kenya,Boito,The Ward starts with BOI,The ward Boito is in Konoin Constituency - Bomet County.,1,"geography,ward,kenya",TRUE
Rearrange (Kbwawai) to reference a valid ward in Ndhiwa Constituency - Homa Bay County in Kenya,Kwabwai,The Ward starts with KWA,The ward Kwabwai is in Ndhiwa Constituency - Homa Bay County.,1,"geography,ward,kenya",TRUE
Rearrange (Gtiamu) to reference a valid ward in Ol Jorok Constituency - Nyandarua County in Kenya,Gatimu,The Ward starts with GAT,The ward Gatimu is in Ol Jorok Constituency - Nyandarua County.,1,"geography,ward,kenya",TRUE
Rearrange (Liiten) to reference a valid ward in Buret Constituency - Bomet County in Kenya,Litein,The Ward starts with LIT,The ward Litein is in Buret Constituency - Bomet County.,1,"geography,ward,kenya",TRUE
Rearrange (Mmanogui) to reference a valid ward in Nithi Constituency - Tharaka County in Kenya,Magumoni,The Ward starts with MAG,The ward Magumoni is in Nithi Constituency - Tharaka County.,2,"geography,ward,kenya",TRUE
Rearrange (Kobrua) to reference a valid ward in Nyando Constituency - Kisumu County in Kenya,Kobura,The Ward starts with KOB,The ward Kobura is in Nyando Constituency - Kisumu County.,1,"geography,ward,kenya",TRUE
Rearrange (Carhtaiga) to reference a valid ward in Ol Jorok Constituency - Nyandarua County in Kenya,Charagita,The Ward starts with CHA,The ward Charagita is in Ol Jorok Constituency - Nyandarua County.,2,"geography,ward,kenya",TRUE
Rearrange (Ctnaerl) to reference a valid ward in Mwingi West Constituency - Kitui County in Kenya,Central,The Ward starts with CEN,The ward Central is in Mwingi West Constituency - Kitui County.,1,"geography,ward,kenya",TRUE
Rearrange (Ioni) to reference a valid ward in Gichugu Constituency - Kirinyaga County in Kenya,Inoi,The Ward starts with INO,The ward Inoi is in Gichugu Constituency - Kirinyaga County.,1,"geography,ward,kenya",TRUE
Rearrange (Ianklildoooi) to reference a valid ward in Kajiado West Constituency - Kajiado County in Kenya,Iloodokilani,The Ward starts with ILO,The ward Iloodokilani is in Kajiado West Constituency - Kajiado County.,2,"geography,ward,kenya",TRUE
Rearrange (Kaeatpnky) to reference a valid ward in Mt. Elgon Constituency - Bungoma County in Kenya,Kapkateny,The Ward starts with KAP,The ward Kapkateny is in Mt. Elgon Constituency - Bungoma County.,2,"geography,ward,kenya",TRUE
Rearrange (Soogo) to reference a valid ward in Narok South Constituency - Narok County in Kenya,Sogoo,The Ward starts with SOG,The ward Sogoo is in Narok South Constituency - Narok County.,1,"geography,ward,kenya",TRUE
Rearrange (Udukna) to reference a valid ward in Msambweni Constituency - Kwale County in Kenya,Ukunda,The Ward starts with UKU,The ward Ukunda is in Msambweni Constituency - Kwale County.,1,"geography,ward,kenya",TRUE
Rearrange (Cheyunbo) to reference a valid ward in Chepalungu Constituency - Bomet County in Kenya,Chebunyo,The Ward starts with CHE,The ward Chebunyo is in Chepalungu Constituency - Bomet County.,2,"geography,ward,kenya",TRUE
Rearrange (Kvaia) to reference a valid ward in Masinga Constituency - Machakos County in Kenya,Kivaa,The Ward starts with KIV,The ward Kivaa is in Masinga Constituency - Machakos County.,1,"geography,ward,kenya",TRUE
Rearrange (Maawiwngnma) to reference a valid ward in Kaloleni Constituency - Kilifi County in Kenya,Mwanamwinga,The Ward starts with MWA,The ward Mwanamwinga is in Kaloleni Constituency - Kilifi County.,2,"geography,ward,kenya",TRUE
Rearrange (Kebmu) to reference a valid ward in Bomet East Constituency - Bomet County in Kenya,Kembu,The Ward starts with KEM,The ward Kembu is in Bomet East Constituency - Bomet County.,1,"geography,ward,kenya",TRUE
Rearrange (Klseliweha) to reference a valid ward in Kilimani Constituency - Nairobi County in Kenya,Kileleshwa,The Ward starts with KIL,The ward Kileleshwa is in Kilimani Constituency - Nairobi County.,2,"geography,ward,kenya",TRUE
Rearrange (Meiobn) to reference a valid ward in Moiben Constituency - Uasin Gishu County in Kenya,Moiben,The Ward starts with MOI,The ward Moiben is in Moiben Constituency - Uasin Gishu County.,1,"geography,ward,kenya",TRUE
Rearrange (Twii) to reference a valid ward in Matuga Constituency - Kwale County in Kenya,Tiwi,The Ward starts with TIW,The ward Tiwi is in Matuga Constituency - Kwale County.,1,"geography,ward,kenya",TRUE
Rearrange (Muhatbmi) to reference a valid ward in Maara Constituency - Tharaka County in Kenya,Muthambi,The Ward starts with MUT,The ward Muthambi is in Maara Constituency - Tharaka County.,2,"geography,ward,kenya",TRUE
Rearrange (Tihginthu) to reference a valid ward in Laikipia West Constituency - Laikipia County in Kenya,Thingithu,The Ward starts with THI,The ward Thingithu is in Laikipia West Constituency - Laikipia County.,2,"geography,ward,kenya",TRUE
Rearrange (Kysuo) to reference a valid ward in Mwingi North Constituency - Kitui County in Kenya,Kyuso,The Ward starts with KYU,The ward Kyuso is in Mwingi North Constituency - Kitui County.,1,"geography,ward,kenya",TRUE
Rearrange (Walemibi) to reference a valid ward in Luanda Constituency - Vihiga County in Kenya,Wemilabi,The Ward starts with WEM,The ward Wemilabi is in Luanda Constituency - Vihiga County.,2,"geography,ward,kenya",TRUE
Rearrange (Mdaogo) to reference a valid ward in Bura Constituency - Tana River County in Kenya,Madogo,The Ward starts with MAD,The ward Madogo is in Bura Constituency - Tana River County.,1,"geography,ward,kenya",TRUE
Rearrange (Ldwantei) to reference a valid ward in Lugari Constituency - Kakamega County in Kenya,Lwandeti,The Ward starts with LWA,The ward Lwandeti is in Lugari Constituency - Kakamega County.,2,"geography,ward,kenya",TRUE
Rearrange (Wonahji) to reference a valid ward in Kipipiri Constituency - Nyandarua County in Kenya,Wanjohi,The Ward starts with WAN,The ward Wanjohi is in Kipipiri Constituency - Nyandarua County.,1,"geography,ward,kenya",TRUE
Rearrange (Kinmiett) to reference a valid ward in Kilgoris Constituency - Narok County in Kenya,Kimintet,The Ward starts with KIM,The ward Kimintet is in Kilgoris Constituency - Narok County.,2,"geography,ward,kenya",TRUE
Rearrange (Uwkala) to reference a valid ward in Ugenya Constituency - Siaya County in Kenya,Ukwala,The Ward starts with UKW,The ward Ukwala is in Ugenya Constituency - Siaya County.,1,"geography,ward,kenya",TRUE
Rearrange (Ctpeherwai) to reference a valid ward in Mosop Constituency - Nandi County in Kenya,Chepterwai,The Ward starts with CHE,The ward Chepterwai is in Mosop Constituency - Nandi County.,2,"geography,ward,kenya",TRUE
Rearrange (Marnai) to reference a valid ward in Kitutu Chache North Constituency - Kisii County in Kenya,Marani,The Ward starts with MAR,The ward Marani is in Kitutu Chache North Constituency - Kisii County.,1,"geography,ward,kenya",TRUE
Rearrange (Graitu) to reference a valid ward in Kabete Constituency - Kiambu County in Kenya,Gitaru,The Ward starts with GIT,The ward Gitaru is in Kabete Constituency - Kiambu County.,1,"geography,ward,kenya",TRUE
Rearrange (Kekrwgupeat) to reference a valid ward in Ainamoi Constituency - Kericho County in Kenya,Kapkugerwet,The Ward starts with KAP,The ward Kapkugerwet is in Ainamoi Constituency - Kericho County.,2,"geography,ward,kenya",TRUE
Rearrange (Amtawhi) to reference a valid ward in Igembe North Constituency - Meru County in Kenya,Amwathi,The Ward starts with AMW,The ward Amwathi is in Igembe North Constituency - Meru County.,1,"geography,ward,kenya",TRUE
Rearrange (Nniahgi) to reference a valid ward in Fafi Constituency - Garissa County in Kenya,Nanighi,The Ward starts with NAN,The ward Nanighi is in Fafi Constituency - Garissa County.,1,"geography,ward,kenya",TRUE
Rearrange (Mraa) to reference a valid ward in Narok West Constituency - Narok County in Kenya,Mara,The Ward starts with MAR,The ward Mara is in Narok West Constituency - Narok County.,1,"geography,ward,kenya",TRUE
Rearrange (Miellaa) to reference a valid ward in Naivasha Constituency - Nakuru County in Kenya,Maiella,The Ward starts with MAI,The ward Maiella is in Naivasha Constituency - Nakuru County.,1,"geography,ward,kenya",TRUE
