question_text,correct_answer,hint,explanation,difficulty,tags,active
Rearrange (Nuakru) to reference a valid county in Kenya,Nakuru,County Code 032,Nakuru is county 032,2,"geography,kenya,counties",TRUE
Rearrange (Nobairi) to reference a valid county in Kenya,Nairobi,County Code 047,Nairobi is county 047,2,"geography,kenya,counties",TRUE
Rearrange (Mr'nauga) to reference a valid county in Kenya,Murang'a,County Code 021,Murang'a is county 021,3,"geography,kenya,counties",TRUE
Rearrange (Mbamosa) to reference a valid county in Kenya,Mombasa,County Code 001,Mombasa is county 001,2,"geography,kenya,counties",TRUE
Rearrange (Mgiroi) to reference a valid county in Kenya,Migori,County Code 044,Migori is county 044,2,"geography,kenya,counties",TRUE
Rearrange (Mreu) to reference a valid county in Kenya,Meru,County Code 012,Meru is county 012,2,"geography,kenya,counties",TRUE
Rearrange (Miarsabt) to reference a valid county in Kenya,Marsabit,County Code 010,Marsabit is county 010,2,"geography,kenya,counties",TRUE
Rearrange (Mreadna) to reference a valid county in Kenya,Mandera,County Code 009,Mandera is county 009,2,"geography,kenya,counties",TRUE
Rearrange (Muaneki) to reference a valid county in Kenya,Makueni,County Code 017,Makueni is county 017,2,"geography,kenya,counties",TRUE
Rearrange (Makcoahs) to reference a valid county in Kenya,Machakos,County Code 016,Machakos is county 016,2,"geography,kenya,counties",TRUE
Rearrange (Lamu) to reference a valid county in Kenya,Lamu,County Code 005,Lamu is county 005,2,"geography,kenya,counties",TRUE
Rearrange (Lkaiiipa) to reference a valid county in Kenya,Laikipia,County Code 031,Laikipia is county 031,2,"geography,kenya,counties",TRUE
Rearrange (Kelaw) to reference a valid county in Kenya,Kwale,County Code 002,Kwale is county 002,2,"geography,kenya,counties",TRUE
Rearrange (Ktuii) to reference a valid county in Kenya,Kitui,County Code 015,Kitui is county 015,2,"geography,kenya,counties",TRUE
Rearrange (Kiumsu) to reference a valid county in Kenya,Kisumu,County Code 042,Kisumu is county 042,2,"geography,kenya,counties",TRUE
Rearrange (Kiisi) to reference a valid county in Kenya,Kisii,County Code 045,Kisii is county 045,2,"geography,kenya,counties",TRUE
Rearrange (Kiiganrya) to reference a valid county in Kenya,Kirinyaga,County Code 020,Kirinyaga is county 020,2,"geography,kenya,counties",TRUE
Rearrange (Kiflii) to reference a valid county in Kenya,Kilifi,County Code 003,Kilifi is county 003,2,"geography,kenya,counties",TRUE
Rearrange (Kimbau) to reference a valid county in Kenya,Kiambu,County Code 022,Kiambu is county 022,2,"geography,kenya,counties",TRUE
Rearrange (Krhcieo) to reference a valid county in Kenya,Kericho,County Code 035,Kericho is county 035,2,"geography,kenya,counties",TRUE
Rearrange (Kkmegaaa) to reference a valid county in Kenya,Kakamega,County Code 037,Kakamega is county 037,2,"geography,kenya,counties",TRUE
Rearrange (Kijadao) to reference a valid county in Kenya,Kajiado,County Code 034,Kajiado is county 034,2,"geography,kenya,counties",TRUE
Rearrange (Iisloo) to reference a valid county in Kenya,Isiolo,County Code 011,Isiolo is county 011,2,"geography,kenya,counties",TRUE
Rearrange (Ha Bamoy) to reference a valid county in Kenya,Homa Bay,County Code 043,Homa Bay is county 043,3,"geography,kenya,counties",TRUE
Rearrange (Grissaa) to reference a valid county in Kenya,Garissa,County Code 007,Garissa is county 007,2,"geography,kenya,counties",TRUE
Rearrange (Ebmu) to reference a valid county in Kenya,Embu,County Code 014,Embu is county 014,2,"geography,kenya,counties",TRUE
Rearrange (Elkaeey-agoMwrt) to reference a valid county in Kenya,Elgeyo-Marakwet,County Code 028,Elgeyo-Marakwet is county 028,4,"geography,kenya,counties",TRUE
Rearrange (Bsuia) to reference a valid county in Kenya,Busia,County Code 040,Busia is county 040,2,"geography,kenya,counties",TRUE
Rearrange (Bnmogua) to reference a valid county in Kenya,Bungoma,County Code 039,Bungoma is county 039,2,"geography,kenya,counties",TRUE
Rearrange (Beomt) to reference a valid county in Kenya,Bomet,County Code 036,Bomet is county 036,2,"geography,kenya,counties",TRUE
Rearrange (Bnirago) to reference a valid county in Kenya,Baringo,County Code 030,Baringo is county 030,2,"geography,kenya,counties",TRUE
